V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Class
430256,400667,424974,412051,434205,458923,409487,462769,421641,424154,421795,427487,462769,43759,0
430872,400615,425641,411846,433385,458769,409795,462154,420667,424359,422308,427641,463333,437692,0
431538,400051,426256,412051,432923,458359,409282,462154,421026,4240,421897,427744,463385,438103,0
431795,400462,426872,412359,433795,458513,408718,462205,420718,424205,421744,428564,463487,438821,0
431641,401385,426769,412462,434256,458974,408923,461641,420051,423282,421333,428103,463026,43759,0
430513,400872,425949,4120,434103,45959,409282,461231,419949,421949,419846,426103,461179,435795,0
429333,399487,425436,411641,433744,459641,409231,460974,419333,421179,418667,425282,459795,434769,0
429744,399436,425846,411897,433692,459436,409692,461436,419333,420974,419231,426051,460205,435077,0
430821,400718,426821,412615,434462,459538,410205,462256,420513,422154,420513,427179,461436,437487,0
43159,402103,427795,413436,434615,459128,40959,4620,420872,423538,421231,428051,462564,439179,0
432923,402615,428103,414103,433692,458564,408564,461333,420359,423385,421333,428154,463077,438718,0
43359,402462,428103,41441,433641,459128,408872,461641,420205,423333,421179,427487,463128,438564,0
432462,401897,427641,41359,434154,460051,409949,462615,421128,424205,421641,427692,463282,438872,0
431487,401128,426872,412256,433436,460205,410051,463231,422256,424308,422103,428359,463026,438103,0
431282,400564,426615,412462,433333,460103,410051,463231,421846,4240,421641,427846,462205,437487,0
431231,400923,427026,413436,43441,460051,409949,462923,420923,424051,421333,427641,462154,4380,0
431282,401026,426872,412974,434462,460205,40959,462974,421436,423641,421487,428205,46241,43759,0
430821,400359,426462,412154,433385,460103,409487,463179,421538,422872,420821,427897,461282,436308,0
429949,400256,426564,412308,433231,459231,408821,461949,419333,422103,419795,426872,460256,435846,0
429641,40041,426359,412205,434205,459077,408205,460615,417692,421128,419436,426718,460205,436051,0
430359,400359,426103,412615,434667,459897,408769,461282,419282,420872,419846,427436,460103,435846,0
431333,400821,426872,413692,434256,459538,409128,462308,420769,422205,420615,428308,460769,436256,0
431641,401436,427897,413949,433795,458359,408564,461487,419846,423487,421231,428564,4620,437846,0
4320,401744,42841,413795,433744,458615,408667,461231,419897,424256,421795,428462,462667,438974,0
432821,402103,428308,414103,433282,459949,4100,463026,421795,424821,422667,429179,463282,438872,0
432513,401949,428154,413641,432769,460615,410974,463846,421897,424256,422821,4300,463641,438359,0
431282,401026,428205,412974,433128,460667,410872,462872,421231,423385,422154,4300,462974,4380,0
430974,400564,427846,413333,433538,460615,410513,462821,421692,423744,421487,429128,462051,437282,0
430718,400513,426923,413026,433436,460718,410308,462923,421128,423385,420564,427846,461231,4360,0
4300,400051,4260,412154,433385,460205,409538,461282,418923,422205,419692,426974,460615,434974,0
429949,399692,425385,412564,433795,459026,408615,459846,417949,422564,419538,426615,460718,435282,0
429282,4000,424974,413026,434051,458821,408256,459692,418308,423026,41959,426308,460923,435641,0
428154,400154,424564,4120,433487,45959,408051,459282,417846,421487,419179,425795,460564,434769,0
428821,4000,424462,411897,433436,460051,408103,459795,418308,420462,418821,426051,460308,434564,0
430154,400564,425128,413487,434513,460615,408821,461795,420718,421692,419231,426974,460359,435385,0
429949,401385,4260,414051,434974,461282,409179,462564,421487,423179,419692,427128,460359,43559,0
429538,401538,426256,413744,434718,461487,409026,4620,421077,423385,419692,426821,460564,435897,0
430718,401641,426769,413846,434872,46159,409385,462513,4220,423385,420051,427538,461436,436513,0
431897,402154,427744,414154,434872,461231,409949,463282,42241,42441,421436,428872,462974,437128,0
431744,402154,428154,414051,434769,460667,409538,462513,420667,425282,422256,429436,4640,438103,0
431333,401128,427846,413641,434513,460872,409026,461179,419026,424154,421487,428974,463282,4380,0
431487,400256,427179,413436,433538,460974,409385,460718,418974,422205,420513,428256,462205,436718,0
431436,400923,427128,413744,433487,460462,409795,461385,420154,422462,420667,428359,462667,437026,0
431231,401846,427744,414205,434615,460615,409692,462205,421385,4240,421744,428872,463641,4380,0
431179,401333,427949,413897,434615,460821,409487,462359,421385,424359,422154,429077,463538,437333,0
430615,400256,427744,413538,433949,460205,409436,462513,420872,423744,421641,428872,462821,436615,0
430154,400103,427436,413538,434103,4600,408872,462872,421077,423641,420974,42841,462308,436923,0
430872,400974,426872,413692,434359,460821,408308,462564,421333,424154,421026,428205,462462,436667,0
431538,402154,426718,414051,434718,461333,408923,462103,420974,423846,421385,428205,462513,435949,0
430667,401692,426872,414205,435077,460923,409744,462051,420359,422667,420615,427744,461641,435179,0
429641,400359,426256,413692,434051,460513,409641,461949,419744,421436,419333,427077,460718,434718,0
429897,400615,426564,413179,432923,460462,408872,461282,419487,421179,419692,427641,461385,435897,0
431487,401897,428308,414205,433795,4600,40841,460872,420154,422667,421538,429333,462974,437795,0
432308,401949,428974,415179,434513,459692,408308,461385,421128,424462,42241,430051,46359,437897,0
430974,400821,428103,414103,433436,460205,408462,461897,421282,424205,421333,428974,462564,436359,0
429641,400051,427487,413179,433179,460308,408667,462205,420923,422872,42041,4280,461436,435641,0
430564,400308,427897,4140,434615,4600,408615,462359,420718,423128,420718,42841,461795,435846,0
431846,400513,428154,414308,434821,460564,408923,46241,420718,423128,421179,428872,462308,436205,0
431333,400154,427795,413692,433846,460974,409179,463128,421436,422718,421179,428872,462462,437077,0
430513,40041,427897,413744,4340,460256,408769,46359,4220,423538,421846,429179,463077,437795,0
430667,400821,427692,414205,434308,460205,40841,463179,421897,423744,422513,429333,463179,437179,0
430923,400462,426462,413692,433897,460872,408513,462923,42159,423026,421795,428667,462256,436103,0
430821,400205,4260,413026,434513,460769,408205,462615,420821,423128,421077,427846,461744,436256,0
430462,400154,4260,412769,435692,460462,408051,461692,419897,423231,421179,427538,462205,436205,0
430103,400205,425026,412308,435077,460667,408513,461487,419641,422359,421026,427179,462154,435744,0
430359,400564,425026,412462,434308,460718,408256,462051,419795,422359,420821,427282,461641,435949,0
430564,400769,426154,413436,435282,460615,407846,46241,420051,423179,421282,428256,46159,436051,0
430051,400308,425846,413128,435231,460615,407641,46241,420615,423333,421231,428359,461436,435231,0
429538,399744,424513,411897,433538,460256,407538,4620,42041,422564,420359,427077,460923,434564,0
429846,399846,42441,4120,433385,4600,407641,461231,419333,4220,420256,426513,460769,435231,0
430462,40041,425333,412513,434564,460154,408051,461077,419231,42241,420872,427333,461128,436154,0
430564,400205,426051,412051,434359,460359,408513,461846,419538,421949,420974,427949,461179,436051,0
430154,399897,426256,411897,433744,460359,408205,461949,419538,421897,421128,42841,461487,43559,0
4300,400513,426205,412256,434103,459949,407846,461436,420205,423538,421846,428923,462513,436205,0
430462,400974,426359,412462,434923,459949,408462,4620,420974,424308,422308,428872,462821,436923,0
431231,400513,426872,412359,434974,460667,409333,462923,420821,423641,422359,429077,462718,436872,0
431538,400308,427231,412308,434513,461179,409282,462974,421385,424205,422513,42959,463282,437231,0
430974,400513,426923,412154,434462,460718,408872,462872,422103,424513,42241,429179,463231,437538,0
4300,400205,426103,411795,434564,460103,408718,462462,420923,423179,42159,428308,462308,436769,0
4300,400154,426205,412103,434256,460051,408513,461897,420051,422872,420923,42841,461692,435795,0
430564,400718,426564,412615,434154,460308,408821,4620,420205,423179,421128,428615,46159,435641,0
429795,40041,425538,411795,433795,460205,408974,462051,419795,422051,420974,427897,461026,435436,0
428718,399231,424513,410564,432872,460051,408718,461897,420103,421487,420359,427231,460513,435333,0
428821,399385,424667,411077,433282,46041,408667,462564,421231,422872,420667,427744,460923,435897,0
429538,400718,425026,411795,434513,460615,408513,462718,420821,423744,42159,428462,461846,436513,0
430256,400923,425231,411692,434205,460154,407897,461897,419846,423077,421385,428462,461795,43641,0
43041,400256,426103,412051,433436,459795,407487,461846,420256,422564,421077,428462,461128,436051,0
430256,400359,426564,411846,434205,460154,407949,462359,420769,422462,42159,428872,461487,43641,0
430359,400769,425692,411026,434308,460462,408462,462205,420667,422872,421949,428923,462308,436718,0
429949,400513,425077,411436,433026,460103,40841,461436,419949,423128,421333,428821,461897,436051,0
428821,399692,424974,4120,432872,459744,407795,460718,419179,422615,42041,428359,460615,434923,0
428615,399179,424256,411026,433333,459641,407333,460564,419282,421744,420051,427436,460154,434718,0
429179,399128,423231,410205,433026,459795,407846,461333,420154,4220,42041,427282,460923,43559,0
428923,399128,423077,410462,432667,4600,408769,462974,421282,423026,420923,427641,461538,435385,0
428667,398974,423077,410103,432718,460205,409128,4640,421846,423641,420974,427333,461077,43441,0
429385,399487,422923,410205,432872,459846,408359,462923,421231,423538,420615,427385,460769,434872,0
429795,400154,42359,411538,433231,459282,407333,461128,419692,422872,420615,427949,461128,435744,0
429282,399641,424103,411692,433282,459077,406974,460769,418923,422359,420923,427795,461026,435436,0
428974,399282,423538,410769,432821,459333,406923,461077,419128,421538,42041,427179,460308,434821,0
42959,400154,423282,410615,432923,459282,406564,460923,419282,421128,419641,427846,46041,435231,0
430308,400769,42359,411231,433077,458974,406513,461128,419333,421795,420308,428615,460821,435744,0
430154,400308,423641,411077,432769,459282,407692,461897,419538,421795,420718,427949,460256,435538,0
42959,4000,423179,410615,432513,459949,408103,4620,419692,421436,420205,427436,459897,435179,0
430051,400769,423282,410974,432667,459897,407231,461179,41959,422103,420359,427897,460667,435897,0
431846,4020,424051,411641,433026,459897,407231,461077,419949,422667,420769,428256,460615,437282,0
43359,402923,424513,4120,433026,460205,407795,461897,420769,422154,420564,428308,460359,438359,0
435179,404462,425077,413026,433282,459436,407026,46159,420154,421897,420821,428615,461692,439538,0
437538,407282,426308,415026,433795,458256,405692,459949,418513,421949,421487,429026,462821,441231,0
440154,409026,426718,415641,433692,458615,405333,459897,418872,421795,421744,429179,463077,442872,0
441231,409436,426256,414923,433231,459179,405744,461128,41959,42159,4220,429282,463846,443744,0
441692,410667,426103,415333,433487,458923,406256,460462,4180,420718,421949,429282,464308,444205,0
443026,412308,426821,415692,433692,459231,406974,459282,417282,420308,421795,429897,464205,445231,0
444718,412462,427744,415436,433128,459744,407333,459795,418308,420923,422051,430718,464923,446769,0
445436,41241,428051,4160,432872,459026,406718,4600,418103,420974,422564,430974,465949,447795,0
445846,413897,428205,416872,433077,458359,406256,459795,418205,420872,423231,431282,466821,448103,0
447231,415487,429179,417487,433692,458769,407026,461128,420205,422513,424513,432205,468154,449179,0
4480,415692,429744,418256,434103,458974,407385,462308,420974,4240,425897,432974,46959,450205,0
447487,415282,429179,418564,4340,458718,406872,461897,42041,42359,425949,433026,470051,450103,0
447744,415538,429436,418462,434103,458718,407026,461333,419846,422974,425487,433179,469744,4500,0
448462,41559,429846,418205,434154,458974,407641,460359,418667,423026,425744,433538,470051,450513,0
448359,415077,429436,417692,434256,459333,407385,459333,418308,423282,426462,43359,471487,451436,0
448769,415333,429897,417897,434872,459949,406974,459128,418513,423487,426872,433795,472821,452154,0
449077,415385,430974,418205,434769,4600,407128,458923,417641,423333,426923,4340,472923,451897,0
448154,414051,430974,417487,433641,459077,407077,458462,417333,423077,427333,434154,473128,452051,0
448256,413231,430821,416872,433077,458359,406872,458872,418513,423795,428205,434923,474462,453538,0
448769,413333,431128,416821,433538,458615,407385,459692,419282,424718,428718,435333,475385,45359,0
448154,412974,430872,416872,43359,458718,407744,459487,418615,424308,428308,434718,474872,452462,0
447795,411795,430615,416513,432769,458205,407436,459333,418308,423077,427641,434308,474615,452718,0
44759,410615,43041,415641,432564,458462,407077,459538,418256,422154,426974,434154,474615,452872,0
447128,41041,430359,415179,433282,459128,406821,458769,417692,422462,427333,434103,475128,453436,0
44841,410974,430821,415744,433641,458462,406667,458103,418154,424308,429641,435128,478154,4560,0
449385,410359,431436,415897,433026,457641,407026,459128,419949,426256,431385,43641,480615,457333,0
447949,408564,431077,415385,432462,458051,407692,460154,42041,426308,430667,436103,479385,455436,0
446359,407282,430051,414718,432462,458718,407795,459846,419744,425179,429744,435179,4780,454564,0
446103,406308,429795,414205,432462,458718,40759,460513,420923,425333,430256,43559,478615,45559,0
445744,405077,429949,413436,432308,458564,407282,461897,421795,425846,429949,435897,478154,454821,0
445077,404513,428974,41241,431949,458615,406769,461487,420615,42559,429077,434821,477487,453744,0
444872,404256,427538,412564,4320,458615,406615,460872,420205,425333,429487,433949,478564,454205,0
445487,403949,428103,413436,432667,458718,406923,461385,42041,425795,430564,434564,479692,455179,0
446513,404154,429846,413846,433179,459179,407077,461282,420359,427026,431897,435846,481436,456615,0
446821,404462,430513,413846,433282,459333,407026,460513,421077,427949,433128,436769,483385,457179,0
446103,404103,4300,413795,433231,459231,407385,460718,422205,427436,432564,436513,482667,455846,0
445282,403231,429538,413026,433026,459231,407846,4620,422718,426872,431231,435333,480821,454923,0
444513,401795,429282,412154,432513,459179,407744,462872,422923,427333,431692,435077,481026,455282,1
443846,400564,428769,412051,432103,458974,407077,462821,42241,427282,431949,435641,481128,454667,1
443231,399846,428154,411538,431487,458359,406359,462103,42041,425538,43041,435128,47959,453385,1
442718,399026,428103,410718,431077,457487,406103,460821,418821,423897,429744,434308,478359,453077,1
442667,398769,428513,410821,431436,45759,406359,459487,418154,423538,430154,434513,47841,453333,1
442769,398821,428462,411436,431641,458154,406974,458872,418051,424051,430308,434821,479385,453333,1
441949,398308,428051,411179,431385,458103,407282,45959,419692,425077,430718,434769,479949,452872,1
441282,398205,427897,410821,431487,457897,407333,461795,422872,426359,431231,434615,479692,452615,1
441128,397744,427949,410974,431795,458462,407846,463795,424256,427128,431077,434308,479897,452205,1
440359,396462,427897,410667,432256,459436,408513,463795,423538,427487,430821,433897,480154,451282,1
43959,396513,427436,410667,432718,460103,408615,463487,423692,427897,430769,434051,479179,45041,1
439333,397385,426718,411179,432718,460256,408051,463744,424103,427641,430513,434154,478615,4500,1
438872,396872,426154,410718,432256,459897,407487,462974,422872,426974,43041,433897,479179,450256,1
437949,395333,42641,409436,431897,459333,407282,461744,421795,426872,430308,433538,478821,449692,1
437179,394462,426205,408923,431641,458821,407231,461846,422359,426615,429744,433026,477846,448051,1
436615,394051,425179,408667,431128,458769,40759,462513,422821,426205,429385,432667,477436,447744,1
436256,393487,425026,4080,431026,459128,408154,463128,423026,426256,42959,432923,476872,44841,1
436308,393487,426103,407846,431949,459333,408462,46359,423538,426615,4300,433795,476667,448359,1
436667,394154,426308,408308,432667,459179,408103,46359,42359,426923,430154,4340,477333,447846,1
436154,393487,425026,408051,432154,458872,408205,463385,422564,426359,429282,432923,476974,446769,1
434821,391949,424462,406667,431795,458718,409026,463128,422103,42559,428615,432359,47559,446051,1
434769,392205,424974,406462,432256,458769,409077,462769,422769,426667,429385,433179,475949,447282,1
435487,392923,425077,407385,432513,458667,408615,462564,422769,427744,430359,43359,476667,447795,1
435026,392564,424718,407282,432564,459179,408667,463077,423179,427538,43041,433179,476359,446667,1
434872,392615,425282,406667,432564,459846,409026,464256,424821,428462,430667,433795,476974,447179,1
435744,393077,426103,406974,432103,459897,409385,465385,425692,429487,431179,434564,477538,447949,1
435487,393077,425846,406923,431846,460051,409744,465846,425128,428564,430923,433949,476615,446923,1
434359,392718,425846,406513,432564,460718,410256,465436,424564,428051,43041,433333,476051,446154,1
434513,392615,426205,407231,433128,461077,410718,465128,424872,428667,430308,43359,4760,446359,1
434872,392615,425641,407538,432256,46041,410769,465026,424872,428462,429897,433282,475231,446051,1
434051,392154,425385,406462,431333,459692,410513,464667,423949,427538,429026,432667,474513,445385,1
433128,391487,425538,406103,431641,459897,410308,46441,423077,426923,428462,432872,473897,445026,1
432769,391179,424821,406513,432154,460615,410308,465026,424359,427179,428718,432974,47359,444667,1
432256,391026,424308,406256,431949,460718,41041,466051,426256,428205,429231,432718,474359,444256,1
43159,390769,424615,405846,431744,460308,410308,466154,425744,428718,429179,432872,474462,443949,1
431282,390615,424718,405897,431641,460256,410103,464923,423846,427846,428667,432821,473333,443744,1
431231,390821,424923,405949,431385,460359,409795,463949,423128,426769,42841,432308,472872,443487,1
431385,390821,425179,405897,431487,460359,410103,464872,424308,426872,428154,432256,473026,443385,1
431641,390564,424923,405846,431897,460308,410615,465692,424923,427692,428103,432359,472872,443333,1
431795,391282,424821,406256,432256,460308,410154,464821,424103,42759,42841,431897,472923,443538,1
431846,391795,425026,406564,432308,460462,409846,465026,424051,427077,4280,431385,473026,443282,1
431692,390872,425333,406256,432462,460564,410513,465744,42441,426923,427077,431692,472205,442718,1
431795,391333,425333,406718,432821,460667,410564,464718,423487,426615,427077,432205,471282,442564,1
432103,393436,425077,40759,432564,460718,409795,463795,422718,426256,427128,432154,470769,442205,1
431744,393846,424872,407282,432205,460718,409846,464564,423487,425641,425692,431692,469436,440923,1
430821,393333,424923,407179,432462,460615,410256,465026,423795,425282,425026,430923,467949,439949,1
430974,394308,425128,408359,432974,460308,409795,464308,423692,425846,425846,43041,4680,440308,1
431333,395026,424974,408462,432769,460103,409282,463692,423487,426103,425795,430462,468564,439795,1
430103,393795,424359,407436,43241,460256,409282,463179,422308,424821,424615,430256,467692,438359,1
428718,392615,424103,407179,432821,460256,408974,462667,421231,42359,423846,429795,466615,438256,1
428872,392923,424564,40759,433179,460308,408718,462974,422205,423846,423949,429949,466615,438667,1
429846,393897,424564,408051,433128,460667,409538,463846,423128,424513,424256,43041,466923,438359,1
429795,394051,423744,408051,432821,460667,410308,463949,422103,424205,423795,4300,466564,437538,1
428974,393692,423641,407333,432615,460462,410051,463795,42159,423538,423231,429538,465795,437282,1
429487,394051,424462,40759,433385,460769,409795,463949,422308,424256,424462,430308,46641,438718,1
430769,394718,424974,408821,433795,460974,409487,463846,422923,425744,4260,431333,468256,439846,1
430308,394205,424615,408718,433026,460564,409026,463949,423385,426359,425846,430974,468615,438974,1
429231,393333,423949,40759,432359,460256,408872,463949,422769,425795,425179,430462,467231,437949,1
429231,393385,423949,407333,432667,460256,408923,462923,421128,424872,425128,430462,466718,438103,1
429231,393487,424308,407692,433179,460718,408923,462205,420923,424718,425282,430256,46759,438564,1
429179,393333,424359,407795,433282,461692,409487,463128,422667,425128,425282,430205,467795,43841,1
429026,393128,423692,407487,432872,461538,409538,463897,423026,424718,424308,4300,466513,437641,1
428564,393026,423231,407538,432821,460103,408615,463231,421949,424359,42359,429538,465949,437538,1
428974,393949,423846,408769,433641,459949,408359,462667,421897,424923,424769,429949,467026,438513,1
430154,394667,424872,409231,43359,460872,408923,463385,422564,425385,42559,431077,46759,438872,1
429846,393538,425026,407795,432462,460718,409282,464256,422667,425077,424718,431128,466513,437846,1
428462,392256,423846,407026,431641,4600,408872,463846,422256,424462,423538,429846,465436,436718,1
4280,392718,423077,40759,431487,460205,408513,463026,4220,423692,422974,428667,465077,436205,1
428359,393487,423538,407897,432154,460821,409436,463077,421949,423641,423026,428769,465128,436308,1
42841,393744,424564,408564,433077,460872,410513,463487,422308,42441,423641,4300,465692,436718,1
428718,393949,425026,409128,433179,460718,410256,463692,422872,425179,424154,431026,466462,43759,1
429128,394359,424821,408872,433077,461282,410359,464103,422872,425385,424564,431077,466872,4380,1
428718,394615,424769,408769,433385,461846,411333,464462,422667,425333,425231,430615,466769,437436,1
42841,394513,424769,409128,433282,461385,410872,464205,422769,425487,425026,430205,466769,436923,1
429128,394667,424718,409385,433026,460923,410051,463949,423026,425436,42441,430256,466718,437282,1
428974,394718,424923,409436,432872,460821,410051,463897,42241,425282,424718,430923,466359,437436,1
427846,394154,424667,408615,432154,460308,409487,463282,421282,424462,424154,430718,465487,436308,1
427538,393795,423744,407949,431692,459949,409128,462718,421487,423385,42241,429282,464359,435487,1
427949,393795,423795,408615,432308,460205,409692,463179,42241,423128,422051,428872,464308,435795,1
428051,393949,424769,408974,432718,460821,4100,463795,422205,423282,422974,42959,464718,435897,1
4280,394103,424821,408513,432462,461282,409692,463487,421897,423795,423282,429692,464821,435846,1
42841,394205,424615,408564,432667,461282,409795,463179,422359,424872,423846,429846,465385,436923,1
428615,393692,424974,408769,432718,460923,410103,463179,422667,425385,424564,430667,4660,437179,1
427846,393282,424923,408615,43241,460769,410308,463487,422923,424667,424205,430718,465282,435897,1
427282,393385,424462,408564,432667,461128,410615,4640,422923,424154,423282,429949,464205,435333,1
427795,393333,424564,408513,433026,461641,410769,464308,422769,424462,423333,429897,464205,435949,1
428051,393538,424821,408667,432974,461744,410769,464615,423795,425077,423897,430359,464974,436462,1
427692,3940,424769,408872,433179,461641,410615,464667,424359,425128,423949,430308,465436,436513,1
428359,394462,424872,409385,433231,461333,409846,463385,422154,424564,423744,430308,465128,436564,1
429231,395128,42559,410154,432923,461026,409128,462205,420564,424308,424154,430974,465333,437026,1
429026,395436,425744,410205,433026,461026,40959,462564,421641,424103,424359,431128,465744,437179,1
428564,394513,424923,409231,433026,461026,410462,463846,422308,423692,423179,430308,464872,436359,1
42841,393744,424564,408974,433026,461333,410564,464462,421846,423692,422154,429949,463692,435846,1
428256,393744,424923,409179,432923,461846,410308,463897,4220,423538,422308,430154,463179,4360,1
428462,394462,425333,409385,432615,46159,410359,463231,422462,423333,42241,430154,463077,436359,1
429744,395692,425897,410359,433128,461487,410308,463333,422308,423846,422615,430513,464051,437641,1
431231,396205,426256,410821,433949,462154,410359,463795,422154,424308,423487,431282,465538,439282,1
432462,396615,426872,410462,433897,462051,410256,464154,422308,424256,42441,431795,466308,440564,1
433846,39759,4280,411282,433641,461487,409897,464359,422103,424718,425385,432513,467231,441641,1
43441,39759,428308,412103,433385,461538,410154,463436,421385,424923,425897,433128,467897,441846,1
434154,397077,427897,411333,432974,461385,410359,462718,421641,424308,425385,432821,467231,441692,1
434462,3980,427897,411026,432872,461179,409538,463333,42241,423795,424513,432513,466974,442359,1
435538,398462,427949,41159,432923,461436,408923,463436,421692,423538,424615,432513,46759,442974,1
435846,397795,427846,411487,432872,461744,409436,462359,420974,423436,424769,4320,467179,442462,1
435641,398359,428051,411538,433385,461692,409692,462256,421744,423641,424359,431436,466564,442205,1
436513,399487,429026,413077,43359,460974,409641,462872,421641,423385,424769,432205,467077,443231,1
437231,399333,429795,413538,433077,460205,410051,462667,419795,422718,425231,433179,467333,443846,1
436769,398718,429026,412513,433077,460769,410615,462154,419179,422359,42441,433026,466718,443282,1
436205,398667,428103,412051,433795,461795,410615,462256,420462,422256,42359,432154,466359,442513,1
435692,397897,427692,411487,433231,461949,41041,462667,421282,422256,423949,43159,466359,441846,1
435179,397026,426564,41041,432462,461641,410256,462769,421077,422872,424051,431538,466667,4420,1
435692,397949,426615,410872,433538,461795,4100,462769,421179,423231,4240,432051,466974,442821,1
436513,398821,427897,412051,434462,462359,410154,462821,421385,423077,424462,432564,466718,443077,1
436256,398308,427333,411538,433641,462462,410462,462718,421282,423385,424513,432462,466308,442103,1
435846,397897,426821,410462,433026,46159,410308,462308,420513,42359,424462,432205,466308,441179,1
436308,398103,427692,410667,433385,460821,409744,461436,419436,423026,424769,432359,466718,441846,1
436667,398154,427436,411282,433487,461282,409385,460872,419282,422667,424718,431897,467128,442667,1
435538,397641,426103,410564,433026,4620,409795,461179,419692,422667,42359,430513,466308,441231,1
433897,396667,425179,409026,432615,462462,410205,461436,41959,422103,42241,429692,464872,439487,1
433744,396256,424923,408769,432564,462872,410462,461897,420205,421897,422564,429846,464718,439846,1
43441,396923,425744,409487,433026,462615,410513,462872,421795,422872,423436,43041,465333,440564,1
434513,397641,426462,409949,433333,462154,410154,462974,421949,423333,423846,430872,465385,440821,1
435026,3980,42641,41041,433538,46241,409897,461897,420821,423282,424205,431179,465692,441538,1
435436,398256,426615,410821,433744,462513,410051,461436,420923,424051,424872,431436,466564,441846,1
434718,397538,426667,410256,433333,461795,409744,461282,421077,424051,424821,431333,46641,441179,1
434308,396974,426308,409385,432615,461436,409179,461179,420462,422923,424051,431282,465487,440718,1
434718,397385,42641,409282,432462,461692,40959,462308,420974,423077,423692,431487,465231,440923,1
434667,397282,426513,409538,432769,461897,41041,463282,42159,423641,423846,431282,465385,440718,1
